url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,fruits_vegetables_nuts_percent,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g
https://world.openfoodfacts.org/product/0070690271035/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690271035.0,"Fisher , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070690023849/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690023849.0,"Fisher , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070690023863/natural-sliced-almonds-fisher,Natural Sliced Almonds – Fisher – 16 oz,70690023863.0,"Fisher , Fisher Recipe , John B. Sanfilippo & Son  Inc.",16 oz,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://images.openfoodfacts.org/images/products/007/069/002/3863/front_en.4.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,"United States , World",,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070690023870/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690023870.0,"Fisher , Fisher Recipe , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Whole almonds",,yes,yes,high,moderate,low,low,[],,,"United States , World",,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070690271158/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690271158.0,Fisher,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070784502496/whole-almonds-tops,Whole almonds – Tops,70784502496.0,"Tops , Tops Markets  Llc",,23 PCS (28 g),A,,Raw almond kernels.,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0071725728937/organic-unsalted-whole-almonds-nature-s-harvest,Organic unsalted whole almonds – Nature's Harvest,71725728937.0,"American Importing Co. Inc. , Nature's Harvest",,1 ONZ (28 g),A,,Organic almonds.,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0071725750198/whole-almonds-nature-s-harvest,Whole Almonds – Nature's Harvest,71725750198.0,Nature's Harvest,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0071725750488/whole-almonds-american-importing-co-inc,Whole Almonds – American Importing Co. Inc.,71725750488.0,American Importing Co. Inc.,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0073042455077/whole-almonds-ellis-pecan-co-inc,Whole Almonds – Ellis Pecan Co.  Inc.,73042455077.0,Ellis Pecan Co.  Inc.,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.406,575.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0074175302122/unsalted-whole-natural-almonds-unsalted-stater-bros,"Unsalted whole natural almonds, unsalted – Stater Bros",74175302122.0,Stater Bros,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0075239300856/organic-walnuts-halves-pieces-united-natural-foods-inc,Organic Walnuts Halves & Pieces – United Natural Foods  Inc.,75239300856.0,United Natural Foods  Inc.,,0.25 cup (30 g),A,,Organic raw walnuts.,Nuts,,2.929,700.0,66.67,5.0,10.0,3.33,10.0,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels, Walnuts halves and pieces",,yes,yes,high,moderate,low,low,[],,,United States,,,A,13.0,416.0,
https://world.openfoodfacts.org/product/0075450124705/almonds-hy-vee,Almonds – Hy-Vee,75450124705.0,Hy-Vee,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0076958620690/hazelnuts-whole-foods-market,Hazelnuts – Whole Foods Market,76958620690.0,"Rocky Mountain Foods  Inc. , Whole Foods Market",,1/4 cup (30 g),A,,Hazelnuts .,Nuts,,2.51,600.0,53.33,3.33,16.67,3.33,13.3,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Hazelnuts",,yes,yes,high,moderate,low,low,[],,,United States,,,E,16.0,465.0,
https://world.openfoodfacts.org/product/0076991004006/whole-natural-california-almonds-mariani-nut-company,Whole natural california almonds – Mariani Nut Company,76991004006.0,Mariani Nut Company,,1 ONZ (28 g),A,,Whole almonds.,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0077890358009/walnut-halves-pieces-wegmans,Walnut Halves & Pieces – Wegmans,77890358009.0,Wegmans,,0.25 cup (30 g),A,,Walnuts*,Nuts,,2.929,700.0,66.67,5.0,10.0,0.0,10.0,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels, Walnuts halves and pieces",,yes,yes,high,moderate,low,low,[],,,United States,,,A,13.0,416.0,
https://world.openfoodfacts.org/product/0077890392874/almonds-wegmans,Almonds – Wegmans,77890392874.0,"Wegmans , Wegmans Food Markets  Inc.",,28 g (28 g),A,,Sprouted almonds.,,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,unknown,unknown,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0078264049080/whole-natural-almonds-hines-nut-company,Whole natural almonds – Hines Nut Company – 8 oz,78264049080.0,Hines Nut Company,8 oz,1 ONZ (28 g),A,,Almonds,Nuts,,2.406,575.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://images.openfoodfacts.org/images/products/007/826/404/9080/front_en.9.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0078742098586/natural-whole-almonds-wal-mart-stores-inc,Natural whole almonds – Wal-Mart Stores  Inc.,78742098586.0,Wal-Mart Stores  Inc.,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.54,607.0,50.0,12.5,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Whole almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
