url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,fruits_vegetables_nuts_percent,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g
https://world.openfoodfacts.org/product/3560071453442/85-cacao-noir-carrefour,85% Cacao NOIR – Carrefour – 80 g,3.56007E+12,Carrefour,80 g,,D,3,"French: Pâte de cacao (fèves de cacao d'origine Côte d'ivoire et/ou Pérou), sucre, beurre de cacao, cacao maigre en poudre, extrait naturel de vanille. Cacao : 85% minimum.
Peut contenir des traces de céréales contenant du gluten , d' œufs , de soja , de lait et de fruits à coque .",,"Eggs, Gluten, Milk, Nuts, Soybeans",2.462,595,49,31,20,14,13,12,0.02,https://images.openfoodfacts.org/images/products/356/007/145/3442/front_fr.31.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates",,,,,high,high,high,low,[],,Carrefour,"France , Italy , Morocco , Spain",,,,,
https://world.openfoodfacts.org/product/5900020043832/nestle-fitness-cocoa-protein-bar-multipack-4x20g,NESTLE FITNESS Cocoa Protein Bar Multipack (4x20g) – 4 x 20 g,5.90002E+12,"Nestlé , Nestle fitness no added sugar protein cocoa",4 x 20 g,20 g,,4,"Zutaten: 23,3% WEIZENVOLLKORNMEHL, Oligofruktose, Füllstoffe (Polydextrose, Calciumcarbonat), 12,0% VOLLKORNHAFERFLOCKEN, Süßungsmittel (Maltitsirup), WEIZENGLUTEN, 4,5% HASELNUSSPASTE, 4,0% Kakaopulver, Feuchthaltemittel (Glycerin), 3,1% HAFERVOLLKORNMEHL, 3,0% Schokolade [Kakaomasse, Süßungsmittel (Maltitsirup), Kakaobutter, Emulgator (Lecithine ( SOJA )), natürliches Vanillearoma], Sonnenblumenöl, WEIZENMEHL, 2,2% Quinoavollkornmehl, Salz, Emulgator (Lecithine), natürliches Aroma. Kann MILCH und andere NÜSSE enthalten.","Gluten, Nuts, Soybeans",Milk,1.376,330,9.4,2,41,2.5,26.4,11.9,0.49,https://images.openfoodfacts.org/images/products/590/002/004/3832/front_en.36.200.jpg,"Snacks, Sweet snacks, Bars, Cereal bars, Dietary supplements, Bodybuilding supplements, Barritas-de-proteínas, Suplementos-dietéticos, pt:barra-de-cereais-integrais-com-chocolate",,,,,moderate,moderate,low,moderate,"['E1200 - Polydextrose', 'E322 - Lecithins', 'E422 - Glycerol', 'E965 - Maltitol', 'E965ii - Maltitol syrup']",,,"Germany , Spain",,France,,,
https://world.openfoodfacts.org/product/7622202028199/mikado-chocolat-noir-glico,Mikado Chocolat Noir – Glico – 100 g,7.6222E+12,"Glico , LU , Mikado , Mondelez",100 g,1 packet (100 g),E,4,"French: Farine de BLÉ , sucre, pâte de cacao, graisses végétales (palme, coprah), beurre de cacao, lactosérum en poudre (de LAIT ), BEURRE pâtissier, sel, émulsifiants (lécithines de SOJA , E476), poudre à lever (carbonates d'ammonium), levure, arôme.","Gluten, Milk, Soybeans",,1.958,468,18,10,71,32,5,7.1,0.768,https://images.openfoodfacts.org/images/products/762/220/202/8199/front_fr.13.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Stick biscuits covered with chocolate",TRUE,,,,moderate,high,high,moderate,"['E322 - Lecithins', 'E322i - Lecithin', 'E476 - Polyglycerol polyricinoleate', 'E503 - Ammonium carbonates']",,Monoprix,France,,France,,,
https://world.openfoodfacts.org/product/8052575092104/nocciolata-rigoni-di-asiago,Nocciolata – Rigoni di Asiago – 250 g,8.05258E+12,Rigoni di Asiago,250 g,100 g,E,4,"French: Farine de blé* tendre T55, pâte à tartiner aux noisettes* 30,5% (sucre brut*, lait écrémé en poudre*, pâte de noisettes* 23%, huile de tournesol*, beurre de cacao*, arômes naturels, émulsifiant: lécithine de soja*), sucre de canne, huile de tournesol*, œufs* , cacao maigre en poudre* 7%, beurre 4%, sirop de glucose*, fécule de pomme de terre*, quinoa soufflé caramélisé* 1,8% (quinoa*, sucre*, chocolat en poudre*, sucre*, cacao*), sel, poudre à lever: bicarbonate de sodium.","Eggs, Gluten, Milk, Nuts, Soybeans","Mustard, Nuts",2.067,494,25,6.8,55,24,3.8,1,0.51,https://images.openfoodfacts.org/images/products/805/257/509/2104/front_fr.31.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Tartlet biscuits with chocolate",,unknown,,,high,high,high,moderate,"['E322 - Lecithins', 'E322i - Lecithin', 'E500 - Sodium carbonates', 'E500ii - Sodium hydrogen carbonate']",,Auchan,France,,Italie,,,
https://world.openfoodfacts.org/product/29398003/dark-milk-chocolate-with-blood-orange-marks-spencer,Dark milk chocolate with blood orange – Marks & Spencer – 100g,29398003,Marks & Spencer,100g,1 serving (100 g),E,3,"Cocoa Mass, Cane Sugar, Cocoa Butter, Dried Whole Milk, Italian Blood Orange Oil, Vanilla Extract",Milk,,2.4,573,39.5,24.3,42.4,37.3,6.1,9,0.1,https://images.openfoodfacts.org/images/products/000/002/939/8003/front_en.3.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bars, Chocolates, Dark chocolates, Candy chocolate bars, Dark chocolate bar",,unknown,,,high,high,high,low,[],,,United Kingdom,,,,,
https://world.openfoodfacts.org/product/0044000000578/premium-original-galletas-de-soda-nabisco,Premium original Galletas de Soda – Nabisco – 1 lb,44000000578,Nabisco,1 lb,5 crackers (16 g),D,3,"unbleached enriched flour ( wheat flour , niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, baking soda, sea salt, malted barley flour , calcium carbonate, salt, yeast",Gluten,,1.83,438,9.38,0,75,0,0,6.25,2.11,https://images.openfoodfacts.org/images/products/004/400/000/0578/front_en.76.200.jpg,"Snacks, Salty snacks, Sweet snacks, Appetizers, Biscuits and cakes, Biscuits and crackers, Biscuits, Crackers(Appetizers)",TRUE,unknown,unknown,,moderate,low,low,high,"['E500 - Sodium carbonates', 'E500ii - Sodium hydrogen carbonate']","Cardboard , Paperboard",Key Food,United States,,,,,
https://world.openfoodfacts.org/product/0044000031930/cinnamon-brown-sugar-biscuits-belvita-crunchy,Cinnamon Brown Sugar Biscuits – belVita CRUNCHY – 1.76oz,44000031930,belVita CRUNCHY,1.76oz,4 biscuits (50 g),D,4,"Whole grain blend (rolled oats, rye flakes), enriched flour [ wheat flour , niacin, reduced iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid], canola oil, sugar, whole grain wheat flour, brown sugar, malt syrup (from corn and barley ), invert sugar, baking soda, salt, soy lecithin , disodium pyrophosphate, cinnamon, datem, natural flavor, ferric orthophosphate (iron), niacinamide, molasses, pyridoxine hydrochloride (vitamin b6), riboflavin (vitamin b2), thiamin mononitrate (vitamin b1).","Gluten, Soybeans",,1.92,460,16,1,72,40,4,6,1,https://images.openfoodfacts.org/images/products/004/400/003/1930/front_en.70.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",,unknown,unknown,,moderate,low,high,moderate,"['E322 - Lecithins', 'E322i - Lecithin', 'E450 - Diphosphates', 'E450i - Disodium diphosphate', 'E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids', 'E500 - Sodium carbonates', 'E500ii - Sodium hydrogen carbonate']",,,"France , United States",,,,,
https://world.openfoodfacts.org/product/0096619656493/organic-tortilla-chips-kirkland-signature,Organic Tortilla Chips – Kirkland Signature – 40 oz,96619656493,Kirkland Signature,40 oz,1 serving (28 g),C,3,"Organic corn, organic vegetable oil (organic sunflower and/or organic canola oil), sea salt.",,,2.09,500,21.4,1.79,67.9,0,7.14,7.14,0.893,https://images.openfoodfacts.org/images/products/009/661/965/6493/front_en.51.200.jpg,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",,,,,high,moderate,low,moderate,[],,Costco,United States,,,,,
https://world.openfoodfacts.org/product/20005627/bastoncini-salati-snack-day,Bastoncini salati – Snack day – 250g,20005627,Snack day,250g,100 g,E,4,"wheat flour , 5% sea salt, palm oil, emulsifier: mono - and diglycerides of fatty acids, acidity regulator: sodium hydroxide","Gluten, Milk",Sesame seeds,1.688,399,4,0.8,77,2,5.5,11,4.4,https://images.openfoodfacts.org/images/products/000/002/000/5627/front_en.67.200.jpg,"Snacks, Salty snacks",TRUE,,,,moderate,low,low,high,"['E471 - Mono- and diglycerides of fatty acids', 'E524 - Sodium hydroxide']",Plastic,Lidl,"France , Germany , Lithuania , Netherlands",,,,,
https://world.openfoodfacts.org/product/20018986/rich-tea-biscuits-tower-gate,Rich Tea Biscuits – Tower Gate – 300 g,20018986,Tower Gate,300 g,8.6g,E,4,"Wheat biscuits Ingredients 75% Wheat Flour, Sugar, Palm Oil, Invert Sugar Syrup, Raising Agents: Sodium Carbonates, Ammonium Carbonates; Salt.",,,1.928,459,15.3,7.4,71,19.9,2.6,7.9,0.65,https://images.openfoodfacts.org/images/products/000/002/001/8986/front_en.42.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Dry biscuits, Plain biscuit",TRUE,,,,moderate,high,high,moderate,"['E500 - Sodium carbonates', 'E503 - Ammonium carbonates']",Pp film-wrapper,Lidl,United Kingdom,"United Kingdom , Great Britain , England , Ireland","Lidl U.K. GmbH and Lidl Great Britain Ltd , both of 19 Worple Road , Wimbledon , London , SW19 4JS. Lidl Ireland GmbH , Main Road , Tallaght , Dublin 24.",,,
