url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g,additives_count,sugar_ratio,energy_density,protein_ratio,macro_balance,healthy_score,log_energy_kcal_100g,log_fat_100g,log_sugars_100g,log_salt_100g,brand_cleaned,allergens_cleaned,ingredients_text_cleaned,countries_cleaned,additives_cleaned
https://world.openfoodfacts.org/product/0070690271035/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690271035.0,"Fisher , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,3.57,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,7.147500000000001,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,fisher | john b. sanfilippo & son,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0070690023849/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690023849.0,"Fisher , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,fisher | john b. sanfilippo & son,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0070690023863/natural-sliced-almonds-fisher,Natural Sliced Almonds – Fisher – 16 oz,70690023863.0,"Fisher , Fisher Recipe , John B. Sanfilippo & Son  Inc.",16 oz,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://images.openfoodfacts.org/images/products/007/069/002/3863/front_en.4.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,"United States , World",,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,fisher | fisher recipe | john b. sanfilippo & son,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0070690023870/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690023870.0,"Fisher , Fisher Recipe , John B. Sanfilippo & Son  Inc.",,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,3.57,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Whole almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,"United States , World",,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,7.147500000000001,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,fisher | fisher recipe | john b. sanfilippo & son,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0070690271158/whole-natural-almonds-fisher,Whole natural almonds – Fisher,70690271158.0,Fisher,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,fisher,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0070784502496/whole-almonds-tops,Whole almonds – Tops,70784502496.0,"Tops , Tops Markets  Llc",,23 PCS (28 g),1.0,4.0,Raw almond kernels.,Nuts,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,tops | tops markets llc,tree_nuts,raw almond kernels.,united states,
https://world.openfoodfacts.org/product/0071725728937/organic-unsalted-whole-almonds-nature-s-harvest,Organic unsalted whole almonds – Nature's Harvest,71725728937.0,"American Importing Co. Inc. , Nature's Harvest",,1 ONZ (28 g),1.0,4.0,Organic almonds.,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,american importing | nature's harvest,tree_nuts,organic almonds.,united states,
https://world.openfoodfacts.org/product/0071725750198/whole-almonds-nature-s-harvest,Whole Almonds – Nature's Harvest,71725750198.0,Nature's Harvest,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,nature's harvest,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0071725750488/whole-almonds-american-importing-co-inc,Whole Almonds – American Importing Co. Inc.,71725750488.0,American Importing Co. Inc.,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,american importing,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0073042455077/whole-almonds-ellis-pecan-co-inc,Whole Almonds – Ellis Pecan Co.  Inc.,73042455077.0,Ellis Pecan Co.  Inc.,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,575.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.75,0.9554168524297816,3.93,6.247499999999999,6.356107660695892,3.9318256327243257,1.5195132049061133,0.0,ellis pecan,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0074175302122/unsalted-whole-natural-almonds-unsalted-stater-bros,"Unsalted whole natural almonds, unsalted – Stater Bros",74175302122.0,Stater Bros,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,stater bros,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0075239300856/organic-walnuts-halves-pieces-united-natural-foods-inc,Organic Walnuts Halves & Pieces – United Natural Foods  Inc.,75239300856.0,United Natural Foods  Inc.,,0.25 cup (30 g),1.0,4.0,Organic raw walnuts.,Nuts,,700.0,66.67,5.0,10.0,3.33,10.0,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels, Walnuts halves and pieces",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,1.0,13.0,416.0,0,0.333,7.0,1.5154545454545456,2.002,4.585000000000001,6.55250788703459,4.214642950244135,1.4655675420143983,0.0,united natural foods,tree_nuts,organic raw walnuts.,united states,
https://world.openfoodfacts.org/product/0075450124705/almonds-hy-vee,Almonds – Hy-Vee,75450124705.0,Hy-Vee,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.014999999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,hy-vee,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0076958620690/hazelnuts-whole-foods-market,Hazelnuts – Whole Foods Market,76958620690.0,"Rocky Mountain Foods  Inc. , Whole Foods Market",,1/4 cup (30 g),1.0,4.0,Hazelnuts .,Nuts,,600.0,53.33,3.33,16.67,3.33,13.3,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Hazelnuts",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,16.0,465.0,0,0.1997600479904019,6.0,0.9434069043576684,2.6700000000000004,5.827500000000001,6.398594934535208,3.995076560563432,1.4655675420143983,0.0,rocky mountain foods | whole foods market,tree_nuts,hazelnuts.,united states,
